id	eventID	parentEventID	eventDate	eventTime	samplingProtocol	sampleSizeValue	sampleSizeUnit	locationID	countryCode	locality	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters
ZNP:Birds:2020-01-A:IT	ZNP:Birds:2020-01-A:IT	ZNP:Birds:2020-01-A	2020-01-07	09:00+0100/11:00+0100	Transect count	120	minute	IT	BE	Zwin Nature Park, Inner Trail	51.3592	3.348	WGS84	275
ZNP:Birds:2020-01-B:IT	ZNP:Birds:2020-01-B:IT	ZNP:Birds:2020-01-B	2020-01-23	09:00+0100/11:00+0100	Transect count	120	minute	IT	BE	Zwin Nature Park, Inner Trail	51.3592	3.348	WGS84	275
ZNP:Birds:2020-02-A:IT	ZNP:Birds:2020-02-A:IT	ZNP:Birds:2020-02-A	2020-02-05	09:00+0100/11:00+0100	Transect count	120	minute	IT	BE	Zwin Nature Park, Inner Trail	51.3592	3.348	WGS84	275
ZNP:Birds:2020-02-B:IT	ZNP:Birds:2020-02-B:IT	ZNP:Birds:2020-02-B	2020-02-21	07:30+0100/09:30+0100	Transect count	120	minute	IT	BE	Zwin Nature Park, Inner Trail	51.3592	3.348	WGS84	275
ZNP:Birds:2020-03-A:IT	ZNP:Birds:2020-03-A:IT	ZNP:Birds:2020-03-A	2020-03-11	11:00+0100/13:00+0100	Transect count	120	minute	IT	BE	Zwin Nature Park, Inner Trail	51.3592	3.348	WGS84	275
ZNP:Birds:2020-03-B:IT	ZNP:Birds:2020-03-B:IT	ZNP:Birds:2020-03-B	2020-03-24	07:00+0100/09:00+0100	Transect count	120	minute	IT	BE	Zwin Nature Park, Inner Trail	51.3592	3.348	WGS84	275
ZNP:Birds:2020-04-A:IT	ZNP:Birds:2020-04-A:IT	ZNP:Birds:2020-04-A	2020-04-08	07:00+0100/09:00+0100	Transect count	120	minute	IT	BE	Zwin Nature Park, Inner Trail	51.3592	3.348	WGS84	275
ZNP:Birds:2020-04-B:IT	ZNP:Birds:2020-04-B:IT	ZNP:Birds:2020-04-B	2020-04-23	06:00+0100/08:30+0100	Transect count	150	minute	IT	BE	Zwin Nature Park, Inner Trail	51.3592	3.348	WGS84	275
ZNP:Birds:2020-05-A:IT	ZNP:Birds:2020-05-A:IT	ZNP:Birds:2020-05-A	2020-05-06	05:00+0100/07:30+0100	Transect count	150	minute	IT	BE	Zwin Nature Park, Inner Trail	51.3592	3.348	WGS84	275
ZNP:Birds:2020-05-B:IT	ZNP:Birds:2020-05-B:IT	ZNP:Birds:2020-05-B	2020-05-19	06:00+0100/08:30+0100	Transect count	150	minute	IT	BE	Zwin Nature Park, Inner Trail	51.3592	3.348	WGS84	275
