id	siteCount	siteNestingDescription	verbatimSiteDescriptions	verbatimSiteNames	geospatialScopeAreaValue	geospatialScopeAreaUnit	targetTaxonomicScope	taxonCompletenessReported	isTaxonomicScopeFullyReported	isAbsenceReported	hasNonTargetTaxa	verbatimTargetScope	identifiedBy	protocolNames	isAbundanceReported	samplingEffortValue	samplingEffortUnit
ZNP:Birds:2018-04-A:IT	1		Inner trail in dune grassland and scrub along ponds	Inner Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	mostly	1.2	personHour
ZNP:Birds:2018-04-A:FTP	1		Point between feeding hut and ringing hut	Forest Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-04-A:DTP	1		Point between observation centre and observation post	Dyke Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-05-A:IT	1		Inner trail in dune grassland and scrub along ponds	Inner Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	mostly	1	personHour
ZNP:Birds:2018-05-A:FTP	1		Point between feeding hut and ringing hut	Forest Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-05-A:DTP	1		Point between observation centre and observation post	Dyke Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-05-B:IT	1		Inner trail in dune grassland and scrub along ponds	Inner Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	mostly	1	personHour
ZNP:Birds:2018-05-B:FTP	1		Point between feeding hut and ringing hut	Forest Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-05-B:DTP	1		Point between observation centre and observation post	Dyke Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-06-A:IT	1		Inner trail in dune grassland and scrub along ponds	Inner Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	mostly	1.5	personHour
ZNP:Birds:2018-06-A:FT	1		Trail in forested zone between feeding hut and ringing hut, ca. 275 m	Forest Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-06-A:DT	1		Trail between observation centre and observation post, ca. 200 m	Dyke Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-06-A:FTP	1		Point between feeding hut and ringing hut	Forest Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-06-A:DTP	1		Point between observation centre and observation post	Dyke Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-06-B:IT	1		Inner trail in dune grassland and scrub along ponds	Inner Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	mostly	1.5	personHour
ZNP:Birds:2018-06-B:FT	1		Trail in forested zone between feeding hut and ringing hut, ca. 275 m	Forest Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-06-B:DT	1		Trail between observation centre and observation post, ca. 200 m	Dyke Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-06-B:FTP	1		Point between feeding hut and ringing hut	Forest Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-06-B:DTP	1		Point between observation centre and observation post	Dyke Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-07-A:IT	1		Inner trail in dune grassland and scrub along ponds	Inner Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	mostly	1.5	personHour
ZNP:Birds:2018-07-A:FT	1		Trail in forested zone between feeding hut and ringing hut, ca. 275 m	Forest Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-07-A:DT	1		Trail between observation centre and observation post, ca. 200 m	Dyke Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-07-A:FTP	1		Point between feeding hut and ringing hut	Forest Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-07-A:DTP	1		Point between observation centre and observation post	Dyke Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-07-B:IT	1		Inner trail in dune grassland and scrub along ponds	Inner Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	mostly	1.5	personHour
ZNP:Birds:2018-07-B:FT	1		Trail in forested zone between feeding hut and ringing hut, ca. 275 m	Forest Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-07-B:DT	1		Trail between observation centre and observation post, ca. 200 m	Dyke Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-07-B:FTP	1		Point between feeding hut and ringing hut	Forest Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-07-B:DTP	1		Point between observation centre and observation post	Dyke Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-08-B:IT	1		Inner trail in dune grassland and scrub along ponds	Inner Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	mostly	1.5	personHour
ZNP:Birds:2018-08-B:FT	1		Trail in forested zone between feeding hut and ringing hut, ca. 275 m	Forest Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-08-B:DT	1		Trail between observation centre and observation post, ca. 200 m	Dyke Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-08-B:FTP	1		Point between feeding hut and ringing hut	Forest Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-08-B:DTP	1		Point between observation centre and observation post	Dyke Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-09-A:IT	1		Inner trail in dune grassland and scrub along ponds	Inner Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	mostly	1.5	personHour
ZNP:Birds:2018-09-A:FT	1		Trail in forested zone between feeding hut and ringing hut, ca. 275 m	Forest Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-09-A:DT	1		Trail between observation centre and observation post, ca. 200 m	Dyke Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	true		
ZNP:Birds:2018-09-A:FTP	1		Point between feeding hut and ringing hut	Forest Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-09-A:DTP	1		Point between observation centre and observation post	Dyke Trail Point			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	pointCount	true	0.083	personHour
ZNP:Birds:2018-09-B:IT	1		Inner trail in dune grassland and scrub along ponds	Inner Trail			Aves	reportedComplete	true	true	false	birds	Wouter Faveyts	transectCount	mostly	1.5	personHour
