id	basisOfRecord	occurrenceID	individualCount	occurrenceStatus	occurrenceRemarks	eventID	identifiedBy	identificationVerificationStatus	scientificNameID	scientificName	kingdom	taxonRank	vernacularName
ZNP:Birds:2018-04-A:IT	HumanObservation	ZNP:Birds:18:00001	0	absent		ZNP:Birds:2018-04-A:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-05-A:IT	HumanObservation	ZNP:Birds:18:00002	0	absent		ZNP:Birds:2018-05-A:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-05-B:IT	HumanObservation	ZNP:Birds:18:00003	0	absent		ZNP:Birds:2018-05-B:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-06-A:IT	HumanObservation	ZNP:Birds:18:00004	0	absent		ZNP:Birds:2018-06-A:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-06-B:IT	HumanObservation	ZNP:Birds:18:00005	0	absent		ZNP:Birds:2018-06-B:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-07-A:IT	HumanObservation	ZNP:Birds:18:00006	0	absent		ZNP:Birds:2018-07-A:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-07-B:IT	HumanObservation	ZNP:Birds:18:00007		present		ZNP:Birds:2018-07-B:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-08-B:IT	HumanObservation	ZNP:Birds:18:00008	0	absent		ZNP:Birds:2018-08-B:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-09-A:IT	HumanObservation	ZNP:Birds:18:00009	3	present		ZNP:Birds:2018-09-A:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-09-B:IT	HumanObservation	ZNP:Birds:18:00010	0	absent		ZNP:Birds:2018-09-B:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-10-A:IT	HumanObservation	ZNP:Birds:18:00011	4	present		ZNP:Birds:2018-10-A:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-10-B:IT	HumanObservation	ZNP:Birds:18:00012	0	absent		ZNP:Birds:2018-10-B:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-11-A:IT	HumanObservation	ZNP:Birds:18:00013	0	absent		ZNP:Birds:2018-11-A:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-12-A:IT	HumanObservation	ZNP:Birds:18:00014	0	absent		ZNP:Birds:2018-12-A:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-12-B:IT	HumanObservation	ZNP:Birds:18:00015	0	absent		ZNP:Birds:2018-12-B:IT	Wouter Faveyts	validated	urn:lsid:marinespecies.org:taxname:137179	Phalacrocorax carbo (Linnaeus, 1758)	Animalia	species	Aalscholver
ZNP:Birds:2018-04-A:IT	HumanObservation	ZNP:Birds:18:00016	0	absent		ZNP:Birds:2018-04-A:IT	Wouter Faveyts	validated		Coccothraustes coccothraustes (Linnaeus, 1758)	Animalia	species	Appelvink
ZNP:Birds:2018-05-A:IT	HumanObservation	ZNP:Birds:18:00017	2	present		ZNP:Birds:2018-05-A:IT	Wouter Faveyts	validated		Coccothraustes coccothraustes (Linnaeus, 1758)	Animalia	species	Appelvink
ZNP:Birds:2018-05-B:IT	HumanObservation	ZNP:Birds:18:00018	0	absent		ZNP:Birds:2018-05-B:IT	Wouter Faveyts	validated		Coccothraustes coccothraustes (Linnaeus, 1758)	Animalia	species	Appelvink
ZNP:Birds:2018-06-A:IT	HumanObservation	ZNP:Birds:18:00019	0	absent		ZNP:Birds:2018-06-A:IT	Wouter Faveyts	validated		Coccothraustes coccothraustes (Linnaeus, 1758)	Animalia	species	Appelvink
ZNP:Birds:2018-06-B:IT	HumanObservation	ZNP:Birds:18:00020	0	absent		ZNP:Birds:2018-06-B:IT	Wouter Faveyts	validated		Coccothraustes coccothraustes (Linnaeus, 1758)	Animalia	species	Appelvink
ZNP:Birds:2018-07-A:IT	HumanObservation	ZNP:Birds:18:00021	0	absent		ZNP:Birds:2018-07-A:IT	Wouter Faveyts	validated		Coccothraustes coccothraustes (Linnaeus, 1758)	Animalia	species	Appelvink
ZNP:Birds:2018-07-B:IT	HumanObservation	ZNP:Birds:18:00022	0	absent		ZNP:Birds:2018-07-B:IT	Wouter Faveyts	validated		Coccothraustes coccothraustes (Linnaeus, 1758)	Animalia	species	Appelvink
ZNP:Birds:2018-08-B:IT	HumanObservation	ZNP:Birds:18:00023	0	absent		ZNP:Birds:2018-08-B:IT	Wouter Faveyts	validated		Coccothraustes coccothraustes (Linnaeus, 1758)	Animalia	species	Appelvink
